"Time","VI","VTI","FB","PETO2","PETCO2"
1915.35125,-33.09552383,-2.543884993,13.55166531,46.28238297,43.0362587
1919.92625,-31.80446053,-2.523533821,13.11475372,46.90273666,42.69307327
1924.37625,-33.73594284,-2.358830929,13.48314571,47.72986221,42.65017319
1928.90375,-27.63611984,-2.545657873,13.25234699,47.31629562,42.84321976
1933.30625,-29.35305405,-2.027800322,13.62862015,47.31629562,43.18640518
1937.81625,-28.518116,-2.206371307,13.30376911,47.10951614,43.20785141
1942.59125,-35.05392838,-2.269566774,12.56544495,47.52307892,43.14351273
1947.40125,-34.72665024,-2.810156584,12.47401237,47.93664169,42.92901993
1951.90625,-34.77493668,-2.60739255,13.31853485,48.55699158,42.77887344
1956.11375,-34.14396286,-2.438592434,14.26024914,48.55699158,42.54292679
1960.48875,-34.66453171,-2.489663839,13.71428585,47.72986221,42.9719162
1964.83125,-35.63237381,-2.508845568,13.816926,46.48916626,43.20785141
1969.03125,-35.82024765,-2.494266272,14.28571415,46.28238297,43.46524429
1973.47125,-34.71020508,-2.650698423,13.51351357,45.86881638,43.35799789
1977.82875,-35.87651443,-2.520828485,13.7693634,46.07560349,43.22930527
1982.18875,-33.76424789,-2.607026815,13.76146793,46.69594955,43.27220535
1986.41875,-34.4616127,-2.380379677,14.18439674,46.69594955,43.22930527
1990.83375,-30.05901337,-2.535800219,13.59003448,46.28238297,43.18640518
1995.80125,-40.24676895,-2.488635778,12.07851028,47.31629562,43.42234421
2000.64875,-33.46793365,-3.251603603,12.37751389,47.31629562,43.12206268
2005.27625,-30.62918663,-2.581214428,12.96596432,48.1434288,43.0791626
2009.94875,-29.51687241,-2.385247946,12.84109116,46.90273666,43.46524429
2014.52375,-30.25748253,-2.250661612,13.11475372,46.07560349,43.61539078
2018.99875,-29.60038185,-2.256703854,13.40782166,46.90273666,43.44379807
2023.60875,-32.54310608,-2.274296045,13.0151844,47.31629562,42.90756607
2028.45125,-31.99847412,-2.626499891,12.39029408,47.10951614,42.4356842
2033.28375,-28.22196579,-2.577210426,12.41593361,48.35020828,42.65017319
2038.31875,-30.23762703,-2.368293285,11.91658401,47.31629562,42.9719162
2043.26375,-33.41079712,-2.492084503,12.13346767,47.52307892,43.10061264
2048.02375,-25.84154701,-2.650589943,12.60504246,47.93664169,42.84321976
2053.00375,-31.01622963,-2.144848347,12.04819298,47.93664169,42.88611984
2057.65625,-29.5147419,-2.405050039,12.89629269,46.28238297,42.99336624
2062.69375,-27.69060516,-2.478008509,11.91067028,46.90273666,43.05771255
2068.41625,-31.18089676,-2.640991449,10.48492813,46.28238297,43.14351273
2073.68625,-32.0640564,-2.738722086,11.38519955,46.90273666,43.0791626
2078.59875,-27.77681732,-2.625244617,12.21374035,47.93664169,42.88611984
2083.44625,-29.196064,-2.24413538,12.37751389,46.69594955,42.99336624
2087.61375,-28.80549622,-2.027909994,14.39712048,46.90273666,43.2507515
2092.12125,-35.56895828,-2.164012909,13.31114769,46.28238297,43.14351273
2097.99875,-35.01806259,-3.484276056,10.20842171,48.55699158,42.56438065
2102.70125,-28.46019936,-2.744540691,12.75917053,49.38411713,42.8217659
2107.49125,-22.52795029,-2.272072554,12.52609634,47.72986221,43.44379807
2112.58125,-29.76212883,-1.91112113,11.78781891,46.07560349,43.9585762
2117.97375,-31.31558037,-2.674871206,11.12656498,46.28238297,43.40089798
2122.95875,-38.16989517,-2.601802826,12.03610802,47.10951614,42.60728073
2127.79375,-26.0974102,-3.075857162,12.40951443,48.97055435,41.89945221
2132.53625,-29.55116081,-2.062782764,12.65155506,47.52307892,42.75741959
2136.78875,-25.2368145,-2.094438553,14.10934734,47.10951614,43.37944794
2141.41375,-23.93458557,-1.945337772,12.97297287,46.28238297,43.76553726
2146.76625,-29.09734344,-2.135164499,11.20971489,46.07560349,43.50814438
2151.38125,-31.26614571,-2.238070726,13.00108337,46.69594955,43.22930527
2156.19625,-25.14240074,-2.509108067,12.46105957,47.52307892,42.54292679
