Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
3180.3792,0.94055,95.80400929,109.28125,66.90625,83.25127176,60.38846207,6817.230957,106.375,15.5936
3181.31975,0.8366,95.7995159,109.25,68,83.99732597,63.79367447,6608.01416,91.6875,15.8403
3182.15635,0.74825,95.80018167,110,70.21875,85.52141033,71.71905518,7093.652344,88.5,15.3943
3182.9046,0.72145,95.79521926,117.46875,72.9375,90.77899252,80.18484497,7271.98877,87.28125,14.8162
3183.62605,0.7739,95.79283499,123.78125,77.1875,96.20192144,77.53141022,6415.918457,83.09375,14.2445
3184.39995,1.17515,95.79919984,129.59375,78.09187317,95.34924938,77.53141022,3957.553467,76.65625,13.0205
3185.5751,1.03345,95.00975041,NA,72.90625,96.46599612,58.05835342,5089.395508,87.6875,13.0986
3186.60855,0.9799,94.79695632,127.21875,74.71875,94.37430981,61.23209381,5795.885254,94.5625,NA
3187.58845,0.96385,94.78591878,123.125,74.4375,91.15534403,62.25112915,6243.632813,100.25,14.8662
3188.5523,0.9299,94.78926497,119.28125,71.25,87.47280642,62.25112915,8016.031738,123,14.3272
3189.4822,0.87945,94.79457509,112.34375,68.25,83.12132363,64.52248383,7273.983887,106.5625,14.8909
3190.36165,0.78065,93.92303889,114.25,66.9375,83.91591866,68.22504425,7489.560547,97.28125,15.0936
3191.1423,0.77595,93.79845472,115.9375,67.5,85.45870002,76.85837555,6912.873047,89.375,14.7517
3191.91825,0.8512,93.79523944,119.5625,68.71875,86.98417642,70.49169922,5927.911133,84.09375,13.2447
3192.76945,0.8865,93.79243514,123,68.96875,89.4989228,70.49169922,6092.333496,89.625,11.8698
3193.65595,0.85655,93.79473615,123.8125,70.75,90.92021033,70.04628754,6539.783691,93.625,11.8784
3194.5125,0.89255,93.79639796,122.53125,72.46875,90.18594722,67.22211456,6799.937012,101.15625,11.8815
3195.40505,0.7861,93.79160969,121.03125,71.40625,89.66314138,76.33058929,8577.458984,112.375,11.9858
3196.19115,0.7785,93.79599992,114.21875,71.28125,86.14848342,77.07054138,8396.06543,108.96875,12.6791
3196.96965,0.75765,93.79965395,115.9375,69.6875,86.4795524,77.07054138,7938.750488,100.25,12.9685
3197.7273,0.76235,94.7138146,118.6875,69.53125,87.91961037,79.18952942,7588.416992,95.8125,12.7403
3198.48965,0.7404,94.7939986,120.3125,68.9375,88.93021597,78.70475006,6697.969238,82.25,12.9165
3199.23005,0.7662,94.77420427,122.0625,69.9375,89.88587041,78.30981445,6930.076172,88.5,11.9758
3199.99625,0.8259,94.77001983,125.46875,70.21875,91.07498982,72.64547729,6960.344727,95.84375,11.3357
3200.82215,0.86065,94.77510639,128.1875,70.6875,91.39107992,72.64547729,6996.088379,100.1875,11.0342
3201.6828,0.891,94.78189885,124.5,68.75,87.79515134,67.33983612,6945.094238,103,11.1706
3202.5738,0.83155,94.78755787,119,66,83.79358592,67.33983612,7973.32959,110.3125,11.1665
3203.40535,0.79625,94.27722135,113.21875,64.6875,80.7151239,75.35401917,8802.150391,116.9375,11.4168
3204.2016,0.73335,93.79918993,110.03125,62.125,78.03850302,75.35401917,9151.087891,111.625,11.55
3204.93495,0.7012,93.79965595,102.28125,59.4375,73.98193236,81.81937408,8620.006836,100.34375,11.3581
3205.63615,0.6894,93.79576217,100.78125,58.21875,72.99111524,87.03192139,8181.218262,94.03125,11.146
